ROUTE,EMBARK_PORT,DISEMBARK_PORT,CABIN_TYPE,DURATION,CRUISE_REGION,BOOKING_WEEK_PRIOR,CANCEL_WEEK_PRIOR,EMBARK_REGION,DEBARK_REGION,PRICE_PAID,NO_OF_PEOPLE_ON_BOOKING
SYD-BNE,SYD,BNE,O,3,South Coast/Tasmania,-29,,Australia - New South Wales,Australia - Queensland,421.29,2
SOU-SOU,SOU,SOU,I,99,West Bound,-8,,UK,UK,0.00,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,-2,,UK,USA - West Coast,2755.25,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,0,,Australia - Queensland,Hong Kong,2870.90,3
SFO-AKL,SFO,AKL,I,16,South Pacific,0,,USA - West Coast,New Zealand,969.11,1
SFO-AKL,SFO,AKL,O,16,South Pacific,0,0,USA - West Coast,New Zealand,1116.46,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,0,,UK,USA - West Coast,1897.36,2
SOU-SOU,SOU,SOU,B,99,West Bound,0,,UK,UK,16667.40,2
AKL-HKG,AKL,HKG,I,23,GB Reef/Queensland,1,,New Zealand,Hong Kong,0.00,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,1,,Australia - Queensland,Hong Kong,2644.93,2
BNE-HKG,BNE,HKG,O,16,GB Reef/Queensland,1,,Australia - Queensland,Hong Kong,1548.25,2
HKG-DXB,HKG,DXB,B,17,Southeast Asia,1,,Hong Kong,UAE,4861.85,2
SFO-AKL,SFO,AKL,B,16,South Pacific,1,,USA - West Coast,New Zealand,1640.55,2
SFO-AKL,SFO,AKL,I,16,South Pacific,1,,USA - West Coast,New Zealand,828.62,2
SFO-SYD,SFO,SYD,O,20,South Pacific,1,,USA - West Coast,Australia - New South Wales,4778.38,1
SFO-SYD,SFO,SYD,O,20,South Pacific,1,1,USA - West Coast,Australia - New South Wales,4972.49,2
SOU-SFO,SOU,SFO,O,24,Panama Canal,1,1,UK,USA - West Coast,3839.02,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,1,,UK,USA - West Coast,0.00,2
SOU-SYD,SOU,SYD,B,44,West Bound,1,0,UK,Australia - New South Wales,8683.61,2
SOU-SYD,SOU,SYD,B,44,West Bound,1,,UK,Australia - New South Wales,2930.50,2
SOU-SYD,SOU,SYD,I,44,West Bound,1,,UK,Australia - New South Wales,5073.45,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,423.70,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,486.21,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,1,,Australia - New South Wales,Australia - Queensland,619.01,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,1,0,Australia - New South Wales,Hong Kong,1908.98,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,1,,Australia - New South Wales,Hong Kong,3667.61,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,1,,Australia - New South Wales,Singapore,5074.93,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,1,,Australia - New South Wales,Singapore,2790.20,2
SYD-SIN,SYD,SIN,O,25,Southeast Asia,1,,Australia - New South Wales,Singapore,2345.01,2
AKL-SYD,AKL,SYD,O,4,New Zealand,2,,New Zealand,Australia - New South Wales,587.90,2
BNE-HKG,BNE,HKG,S,16,GB Reef/Queensland,2,0,Australia - Queensland,Hong Kong,3301.57,1
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,2,0,Australia - Queensland,Hong Kong,787.22,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,2,,Australia - Queensland,Hong Kong,1649.40,2
BNE-HKG,BNE,HKG,I,16,GB Reef/Queensland,2,,Australia - Queensland,Hong Kong,1397.45,2
DXB-SOU,DXB,SOU,B,19,Middle East,2,,UAE,UK,2183.04,1
DXB-SOU,DXB,SOU,B,19,Middle East,2,1,UAE,UK,1629.00,2
DXB-SOU,DXB,SOU,O,19,Middle East,2,,UAE,UK,1239.71,2
SFO-SYD,SFO,SYD,O,20,South Pacific,2,1,USA - West Coast,Australia - New South Wales,3780.85,2
SFO-SYD,SFO,SYD,O,20,South Pacific,2,,USA - West Coast,Australia - New South Wales,3608.88,2
SOU-SFO,SOU,SFO,B,24,Panama Canal,2,,UK,USA - West Coast,5366.52,1
SOU-SOU,SOU,SOU,I,99,West Bound,2,,UK,UK,12143.69,2
SOU-SOU,SOU,SOU,I,99,West Bound,2,,UK,UK,12510.82,2
SOU-SYD,SOU,SYD,I,44,West Bound,2,,UK,Australia - New South Wales,6507.84,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,2,,Australia - New South Wales,Australia - Queensland,544.53,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,0.00,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,1494.20,2
SYD-HKG,SYD,HKG,O,19,GB Reef/Queensland,2,,Australia - New South Wales,Hong Kong,1541.41,2
AKL-SYD,AKL,SYD,O,4,New Zealand,3,,New Zealand,Australia - New South Wales,423.31,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,3,2,Australia - Queensland,Hong Kong,1735.96,2
DXB-SOU,DXB,SOU,B,19,Middle East,3,,UAE,UK,1510.60,2
HKG-SOU,HKG,SOU,B,36,Southeast Asia,3,,Hong Kong,UK,11828.53,2
SFO-AKL,SFO,AKL,B,16,South Pacific,3,,USA - West Coast,New Zealand,908.08,2
SFO-AKL,SFO,AKL,I,16,South Pacific,3,,USA - West Coast,New Zealand,503.86,2
SFO-SYD,SFO,SYD,I,20,South Pacific,3,1,USA - West Coast,Australia - New South Wales,0.00,2
SFO-SYD,SFO,SYD,I,20,South Pacific,3,3,USA - West Coast,Australia - New South Wales,4714.43,2
SFO-SYD,SFO,SYD,O,20,South Pacific,3,,USA - West Coast,Australia - New South Wales,3473.42,2
SFO-SYD,SFO,SYD,O,20,South Pacific,3,,USA - West Coast,Australia - New South Wales,6128.13,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,3,,UK,USA - West Coast,0.00,1
SOU-SFO,SOU,SFO,O,24,Panama Canal,3,,UK,USA - West Coast,4118.22,2
SOU-SOU,SOU,SOU,I,99,West Bound,3,,UK,UK,0.00,2
SOU-SYD,SOU,SYD,B,44,West Bound,3,2,UK,Australia - New South Wales,9288.69,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,3,,Australia - New South Wales,Hong Kong,2067.55,1
SYD-SIN,SYD,SIN,I,25,Southeast Asia,3,1,Australia - New South Wales,Singapore,1868.52,2
AKL-SYD,AKL,SYD,B,4,New Zealand,4,3,New Zealand,Australia - New South Wales,556.87,2
AKL-SYD,AKL,SYD,O,4,New Zealand,4,,New Zealand,Australia - New South Wales,518.69,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,4,2,Australia - Queensland,Hong Kong,2231.02,2
DXB-SOU,DXB,SOU,B,19,Middle East,4,,UAE,UK,1657.07,2
DXB-SOU,DXB,SOU,B,19,Middle East,4,,UAE,UK,1784.15,2
DXB-SOU,DXB,SOU,O,19,Middle East,4,,UAE,UK,2433.48,2
SFO-AKL,SFO,AKL,B,16,South Pacific,4,,USA - West Coast,New Zealand,826.58,2
SFO-SYD,SFO,SYD,I,20,South Pacific,4,4,USA - West Coast,Australia - New South Wales,3467.27,2
SOU-HKG,SOU,HKG,I,63,West Bound,4,,UK,Hong Kong,0.00,1
SOU-SFO,SOU,SFO,B,24,Panama Canal,4,,UK,USA - West Coast,6534.15,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,4,,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,S,99,West Bound,4,,UK,UK,32322.82,2
SOU-SYD,SOU,SYD,I,44,West Bound,4,,UK,Australia - New South Wales,3814.21,2
SOU-SYD,SOU,SYD,I,44,West Bound,4,,UK,Australia - New South Wales,3716.18,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,4,,Australia - New South Wales,Australia - Queensland,780.76,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,4,,Australia - New South Wales,Hong Kong,1793.50,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,4,,Australia - New South Wales,Hong Kong,1899.48,2
SYD-SIN,SYD,SIN,B,25,Southeast Asia,4,1,Australia - New South Wales,Singapore,1985.58,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,4,4,Australia - New South Wales,UK,13839.13,2
SYD-SOU,SYD,SOU,I,55,Southeast Asia,4,,Australia - New South Wales,UK,5499.65,2
AKL-SYD,AKL,SYD,I,4,New Zealand,5,,New Zealand,Australia - New South Wales,0.00,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,5,5,Australia - Queensland,Hong Kong,1423.11,2
BNE-HKG,BNE,HKG,B,16,GB Reef/Queensland,5,,Australia - Queensland,Hong Kong,2243.02,2
SOU-SFO,SOU,SFO,I,24,Panama Canal,5,2,UK,USA - West Coast,0.00,2
SOU-SOU,SOU,SOU,B,99,West Bound,5,2,UK,UK,29818.23,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,4,UK,UK,12515.02,2
SOU-SOU,SOU,SOU,B,99,West Bound,5,,UK,UK,16881.41,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,0.00,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,0.00,2
SOU-SOU,SOU,SOU,I,99,West Bound,5,,UK,UK,13346.45,2
SOU-SYD,SOU,SYD,B,44,West Bound,5,,UK,Australia - New South Wales,3988.48,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,419.12,2
SYD-BNE,SYD,BNE,B,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,849.09,2
SYD-BNE,SYD,BNE,I,3,South Coast/Tasmania,5,,Australia - New South Wales,Australia - Queensland,0.00,2
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,2824.01,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,,Australia - New South Wales,Hong Kong,1506.67,1
SYD-HKG,SYD,HKG,B,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,4636.27,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,0,Australia - New South Wales,Hong Kong,2753.33,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,3,Australia - New South Wales,Hong Kong,0.00,2
SYD-HKG,SYD,HKG,I,19,GB Reef/Queensland,5,5,Australia - New South Wales,Hong Kong,1600.34,2
